برلين	برلين
ترفض	ترفض
حصول	حصول
شركة	شركة
اميركية	اميركية
على	على
رخصة	رخصة
تصنيع	تصنيع
دبابة	دبابة
"	"
ليوبارد	ليوبارد
"	"
الالمانية	ال|المانية
برلين	برلين
15	15
-	-
7	7
(	(
اف	اف
ب	ب
)	)
-	-
افادت	افادت
صحيفة	صحيفة
الاحد	ال|احد
الالمانية	ال|المانية
"	"
ويلت	ويلت
ام	ام
سونتاغ	سونتاغ
"	"
في	في
عددها	عدد|ها
الصادر	ال|صادر
غدا	غدا
،	،
ان	ان
المستشار	ال|مستشار
غيرهارد	غيرهارد
شرودر	شرودر
يرفض	يرفض
حصول	حصول
المجموعة	ال|مجموعة
الاميركية	ال|اميركية
"	"
جنرال	جنرال
ديناميكس	ديناميكس
"	"
على	على
رخصة	رخصة
لتصنيع	ل|تصنيع
الدبابة	ال|دبابة
الالمانية	ال|المانية
"	"
ليوبارد	ليوبارد
2	2
"	"
عبر	عبر
شراء	شراء
المجموعة	ال|مجموعة
الحكومية	ال|حكومية
الاسبانية	ال|اسبانية
لالأسلحة	ل|ال|أسلحة
"	"
سانتا	سانتا
بربارة	بربارة
"	"
.	.
وفي	و|في
نيسان	نيسان
/	/
ابريل	ابريل
الماضي	ال|ماضي
،	،
تخلت	تخلت
الدولة	ال|دولة
الاسبانية	ال|اسبانية
عن	عن
مجموعة	مجموعة
"	"
سانتا	سانتا
بربارة	بربارة
"	"
التي	التي
تصنع	تصنع
دبابات	دبابات
ليوبارد	ليوبارد
الالمانية	ال|المانية
،	،
الى	الى
"	"
جنرال	جنرال
ديناميكس	ديناميكس
"	"
التي	التي
تنتج	تنتج
الدبابة	ال|دبابة
الاميركية	ال|اميركية
"	"
ام1	ام|1
ابرامس	ابرامس
"	"
المعتبرة	ال|معتبرة
المنافسة	ال|منافسة
الرئيسية	ال|رئيسية
لدبابة	ل|دبابة
ليوبارد	ليوبارد
في	في
الاسواق	ال|اسواق
.	.
وكانت	و|كانت
خسائر	خسائر
المجموعة	ال|مجموعة
الاسبانية	ال|اسبانية
الرسمية	ال|رسمية
تراكمت	تراكمت
في	في
السنوات	ال|سنوات
العشر	ال|عشر
الاخيرة	ال|اخيرة
لتبلغ	ل|تبلغ
920	920
مليون	مليون
يورو	يورو
.	.
وأشارت	و|أشارت
صحيفة	صحيفة
الاحد	ال|احد
الى	الى
ان	ان
المستشار	ال|مستشار
شرودر	شرودر
يعتبر	يعتبر
ان	ان
حصول	حصول
المجموعة	ال|مجموعة
الاميركية	ال|اميركية
على	على
رخصة	رخصة
تصنيع	تصنيع
ليوبارد2	ليوبارد|2
يعرض	يعرض
لالخطر	ل|ال|خطر
